# t (s),mx (),my (),mz (),Edens_demag.region5 (J/m3),Edens_exch.region5 (J/m3),,
0,0.21206148,0.06840403,0,8245.501,-0.0036510425,,
0,0.21089627,0.06511364,0,8256.203,-0.0035113737,,
0,0.20978871,0.061803397,0,8266.899,0.0026691894,,
0,0.20873903,0.05847434,0,8277.589,0.004869969,,
0,0.20774765,0.055127475,0,8288.264,-0.005455257,,
0,0.20681484,0.05176381,0,8298.925,-0.002965322,,
0,0.20594086,0.04838438,0,8309.569,0.0015266215,,
0,0.20512599,0.04499021,0,8320.191,-0.007054708,,
0,0.20437048,0.04158234,0,8330.788,-0.001474979,,
0,0.20367454,0.0381618,0,8341.359,-0.0018645622,,
0,0.20303847,0.03472964,0,8351.896,-0.0027613516,,
0,0.20246233,0.03128689,0,8362.399,-0.0034834319,,
0,0.20194636,0.027834624,0,8372.869,0.002279708,,
0,0.20149076,0.024373867,0,8383.293,-0.01046512,,
0,0.20109563,0.020905692,0,8393.675,-0.0005517277,,
0,0.20076106,0.01743115,0,8404.01,-0.006496793,,
0,0.2004872,0.013951293,0,8414.295,-0.0088654915,,
0,0.20027411,0.010467192,0,8424.528,0.0028632747,,
0,0.20012183,0.006979899,0,8434.702,-0.003293231,,
0,0.20003046,0.003490481,0,8444.818,-0.009273061,,
0,0.2,2.45E-17,0,8454.872,-0.0035483877,,
0,0.20003048,-0.0034904815,0,8464.859,-0.009273061,,
0,0.20012183,-0.006979899,0,8474.778,-0.003293231,,
0,0.20027411,-0.010467192,0,8484.626,0.0028632747,,
0,0.2004872,-0.013951292,0,8494.398,-0.0088654915,,
0,0.20076108,-0.01743115,0,8504.094,-0.006496793,,
0,0.20109563,-0.020905692,0,8513.708,-0.0005517279,,
0,0.20149076,-0.024373868,0,8523.238,-0.010465121,,
0,0.20194636,-0.027834624,0,8532.684,0.002279708,,
0,0.20246233,-0.03128689,0,8542.037,-0.0034834319,,
0,0.20303845,-0.034729637,0,8551.3,-0.0027613516,,
0,0.20367454,-0.038161803,0,8560.47,-0.0018645622,,
0,0.20437048,-0.04158234,0,8569.538,-0.0014749797,,
0,0.20512599,-0.044990215,0,8578.507,-0.0070547084,,
0,0.20594086,-0.04838438,0,8587.374,0.0015266208,,
0,0.20681484,-0.05176381,0,8596.133,-0.002965322,,
0,0.20774764,-0.055127475,0,8604.785,-0.005455257,,
0,0.20873904,-0.058474347,0,8613.325,0.004869969,,
0,0.20978871,-0.061803397,0,8621.751,0.0026691894,,
0,0.21089627,-0.06511364,0,8630.062,-0.0035113737,,
0,0.21206148,-0.06840403,0,8638.251,-0.0036510425,,
0,0.21328393,-0.071673594,0,8646.321,0.0013935643,,
0,0.21456324,-0.07492131,0,8654.266,-0.00481452,,
0,0.21589904,-0.078146234,0,8662.085,-0.0026957367,,
0,0.21729091,-0.08134734,0,8669.775,-0.0010374418,,
0,0.21873845,-0.084523655,0,8677.335,-0.0012659241,,
0,0.22024119,-0.08767424,0,8684.76,-0.0065604933,,
0,0.22179869,-0.09079811,0,8692.049,-0.0053675016,,
0,0.22341047,-0.09389432,0,8699.202,0.00658047,,
0,0.22507605,-0.09696192,0,8706.212,-0.0045542335,,
0,0.22679493,-0.1,0,8713.083,-0.0027671694,,
